stID,StationName,LineName,disID
1,"103 ST",1,777
2,"116 ST-COLUMBIA",1,999
3,"125 ST",1,999
4,"137 ST CITY COL",1,999
5,"157 ST",1,999
6,"18 ST",1,444
7,"181 ST",1,112
8,"191 ST",1,112
9,"207 ST",1,112
10,"215 ST",1,112
11,"28 ST",1,444
12,"50 ST",1,555
13,"66 ST-LINCOLN",1,777
14,"79 ST",1,777
15,"86 ST",1,777
16,"CANAL ST",1,222
17,"CHRISTOPHER ST",1,222
18,"DYCKMAN ST",1,112
19,"HOUSTON ST",1,222
20,"RECTOR ST",1,111
21,"TWENTY THIRD ST",1,444
22,"72 ST",123,777
23,"96 ST",123,777
24,"CHAMBERS ST",123,111
25,"TIMES SQ-42 ST",1237ACENQRSW,555
26,"59 ST COLUMBUS",1ABCD,777
27,"168 ST",1AC,999
28,"SOUTH FERRY",1RW,111
29,"116 ST",23,110
30,"125 ST",23,110
31,"135 ST",23,110
32,"CENTRAL PK N110",23,110
33,"FULTON ST",2345ACJZ,111
34,"PARK PLACE",23ACE,111
35,"145 ST",3,110
36,"HARLEM 148 ST",3,110
37,"BOWLING GREEN",45,111
38,"WALL ST",45,111
39,"125 ST",456,100
40,"86 ST",456,888
41,"GRD CNTRL-42 ST",4567S,555
42,"BROOKLYN BRIDGE",456JZ,111
43,"14 ST-UNION SQ",456LNQRW,333
44,"59 ST",456NQRW,888
45,"103 ST",6,888
46,"110 ST",6,888
47,"116 ST",6,100
48,"23 ST",6,666
49,"28 ST",6,666
50,"33 ST",6,666
51,"51 ST",6,555
52,"68ST-HUNTER CO",6,888
53,"96 ST",6,888
54,"ASTOR PL",6,333
55,"SPRING ST",6,333
56,"34 ST-HUDSON YD",7,444
57,"175 ST",A,112
58,"181 ST",A,112
59,"190 ST",A,112
60,"DYCKMAN ST",A,112
61,"INWOOD-207 ST",A,112
62,"145 ST",ABCD,110
63,"W 4 ST-WASH SQ",ABCDEFM,222
64,"125 ST",ACBD,110
65,"CANAL ST",ACE,222
66,"CHAMBERS ST",ACE23,111
67,"14 ST",ACEL,222
68,"42 ST-PORT AUTH",ACENQRS1237W,555
69,"FULTON ST",ACJZ2345,111
70,"103 ST",BC,777
71,"116 ST",BC,110
72,"135 ST",BC,110
73,"72 ST",BC,777
74,"81 ST-MUSEUM",BC,777
75,"86 ST",BC,777
76,"96 ST",BC,777
77,"CATHEDRAL PKWY",BC,777
78,"155 ST",BD,110
79,"GRAND ST",BD,333
80,"7 AV",BDE,555
81,"47-50 STS ROCK",BDFM,555
82,"42 ST-BRYANT PK",BDFM7,555
83,"34 ST-HERALD SQ",BDFMNQRW,444
84,B'WAY-LAFAYETTE,BDFQ6,333
85,"163 ST-AMSTERDM",C,110
86,"23 ST",CE,444
87,"SPRING ST",CE,222
88,"5 AV/53 ST",EM,555
89,"57 ST",F,555
90,"EAST BROADWAY",F,333
91,"LEXINGTON AV/63",F,888
92,DELANCEY/ESSEX,FJMZ,333
93,"14 ST",FLM123,444
94,"6 AV",FLM123,444
95,"23 ST",FM,444
96,"CANAL ST",JNQRZ6W,333
97,BOWERY,JZ,333
98,"BROAD ST",JZ,111
99,"CHAMBERS ST",JZ456,111
100,"1 AV",L,333
101,"3 AV",L,333
102,"49 ST",NQRW,555
103,"5 AV/59 ST",NQRW,888
104,"57 ST-7 AV",NQRW,555
105,"59 ST",NRW,888
106,"8 ST-NYU",NRW,333
107,"PRINCE ST",NRW,222
108,"RECTOR ST",NRW,111
109,"72 ST-2 AVE",Q,888
110,"86 ST-2 AVE",Q,888
111,"96 ST-2 AVE",Q,888
112,"WHITEHALL S-FRY",R1W,111
113,"CORTLANDT ST",RNW,111
