125 ST, 1, 04/22/2017, 5521, 
137 ST CITY COL, 1, 04/22/2017, 8644, 
157 ST, 1, 04/22/2017, 7889, 
18 ST, 1, 04/22/2017, 3975, 
215 ST, 1, 04/22/2017, 1164, 
86 ST, 1, 04/22/2017, 13266, 
CANAL ST, 1, 04/22/2017, 2297, 
DYCKMAN ST, 1, 04/22/2017, 4879, 
HARLEM 148 ST, 3, 04/22/2017, 2274, 
103 ST, 6, 04/22/2017, 7986, 
110 ST, 6, 04/22/2017, 6931, 
28 ST, 6, 04/22/2017, 9730, 
33 ST, 6, 04/22/2017, 13820, 
51 ST, 6, 04/22/2017, 9850, 
116 ST, 23, 04/22/2017, 8445, 
125 ST, 23, 04/22/2017, 10206, 
135 ST, 23, 04/22/2017, 9049, 
BOWLING GREEN, 45, 04/22/2017, 46, 
96 ST, 123, 04/22/2017, 25336, 
59 ST, 456NQRW, 04/22/2017, 21378, 
181 ST, A, 04/22/2017, 7079, 
181 ST, A, 04/22/2017, 7079, 
DYCKMAN ST, A, 04/22/2017, 4364, 
CHAMBERS ST, ACE23, 04/22/2017, 8081, 
14 ST, ACEL, 04/22/2017, 10779, 
103 ST, BC, 04/22/2017, 1510, 
103 ST, BC, 04/22/2017, 1510, 
72 ST, BC, 04/22/2017, 1934, 
86 ST, BC, 04/22/2017, 2012, 
96 ST, BC, 04/22/2017, 1863, 
CATHEDRAL PKWY, BC, 04/22/2017, 2298, 
155 ST, C, 04/22/2017, 1810, 
6 AV, FLM123, 04/22/2017, 4347, 
23 ST, FM, 04/22/2017, 14251, 
CANAL ST, JNQRZ6W, 04/22/2017, 36638, 
1 AV, L, 04/22/2017, 14840, 
57 ST-7 AV, NQRW, 04/22/2017, 21708, 
23 ST, NRW, 04/22/2017, 15934, 
RECTOR ST, NRW, 04/22/2017, 7641, 
125 ST, 1, 04/23/2017, 4356, 
137 ST CITY COL, 1, 04/23/2017, 6988, 
157 ST, 1, 04/23/2017, 6522, 
18 ST, 1, 04/23/2017, 2673, 
215 ST, 1, 04/23/2017, 974, 
86 ST, 1, 04/23/2017, 10640, 
CANAL ST, 1, 04/23/2017, 1797, 
DYCKMAN ST, 1, 04/23/2017, 4195, 
HARLEM 148 ST, 3, 04/23/2017, 1725, 
103 ST, 6, 04/23/2017, 6254, 
110 ST, 6, 04/23/2017, 5309, 
28 ST, 6, 04/23/2017, 7057, 
33 ST, 6, 04/23/2017, 9452, 
51 ST, 6, 04/23/2017, 7148, 
116 ST, 23, 04/23/2017, 7480, 
125 ST, 23, 04/23/2017, 8867, 
135 ST, 23, 04/23/2017, 7587, 
BOWLING GREEN, 45, 04/23/2017, 15, 
96 ST, 123, 04/23/2017, 22169, 
59 ST, 456NQRW, 04/23/2017, 16367, 
181 ST, A, 04/23/2017, 6021, 
181 ST, A, 04/23/2017, 6021, 
DYCKMAN ST, A, 04/23/2017, 3662, 
CHAMBERS ST, ACE23, 04/23/2017, 5507, 
14 ST, ACEL, 04/23/2017, 7666, 
103 ST, BC, 04/23/2017, 1315, 
103 ST, BC, 04/23/2017, 1315, 
72 ST, BC, 04/23/2017, 1921, 
86 ST, BC, 04/23/2017, 1805, 
96 ST, BC, 04/23/2017, 1661, 
CATHEDRAL PKWY, BC, 04/23/2017, 1786, 
155 ST, C, 04/23/2017, 1588, 
6 AV, FLM123, 04/23/2017, 3188, 
23 ST, FM, 04/23/2017, 9008, 
CANAL ST, JNQRZ6W, 04/23/2017, 30350, 
1 AV, L, 04/23/2017, 11744, 
57 ST-7 AV, NQRW, 04/23/2017, 17122, 
23 ST, NRW, 04/23/2017, 10420, 
RECTOR ST, NRW, 04/23/2017, 5438, 
125 ST, 1, 04/24/2017, 6712, 
137 ST CITY COL, 1, 04/24/2017, 14417, 
157 ST, 1, 04/24/2017, 10357, 
18 ST, 1, 04/24/2017, 7508, 
215 ST, 1, 04/24/2017, 1943, 
86 ST, 1, 04/24/2017, 18125, 
CANAL ST, 1, 04/24/2017, 5665, 
DYCKMAN ST, 1, 04/24/2017, 6928, 
HARLEM 148 ST, 3, 04/24/2017, 4019, 
103 ST, 6, 04/24/2017, 14190, 
110 ST, 6, 04/24/2017, 11749, 
28 ST, 6, 04/24/2017, 20780, 
