103 ST, 1, 04/22/2017, 9718, 
116 ST-COLUMBIA, 1, 04/22/2017, 10197, 
125 ST, 1, 04/22/2017, 5521, 
137 ST CITY COL, 1, 04/22/2017, 8644, 
157 ST, 1, 04/22/2017, 7889, 
18 ST, 1, 04/22/2017, 3975, 
181 ST, 1, 04/22/2017, 7775, 
191 ST, 1, 04/22/2017, 5417, 
207 ST, 1, 04/22/2017, 4610, 
215 ST, 1, 04/22/2017, 1164, 
28 ST, 1, 04/22/2017, 6460, 
50 ST, 1, 04/22/2017, 12770, 
66 ST-LINCOLN, 1, 04/22/2017, 15352, 
79 ST, 1, 04/22/2017, 13472, 
86 ST, 1, 04/22/2017, 13266, 
CANAL ST, 1, 04/22/2017, 2297, 
CHRISTOPHER ST, 1, 04/22/2017, 8196, 
DYCKMAN ST, 1, 04/22/2017, 4879, 
HOUSTON ST, 1, 04/22/2017, 3757, 
RECTOR ST, 1, 04/22/2017, 4, 
TWENTY THIRD ST, 1, 04/22/2017, 3278, 
145 ST, 3, 04/22/2017, 1946, 
HARLEM 148 ST, 3, 04/22/2017, 2274, 
103 ST, 6, 04/22/2017, 7986, 
110 ST, 6, 04/22/2017, 6931, 
116 ST, 6, 04/22/2017, 10115, 
23 ST, 6, 04/22/2017, 12877, 
28 ST, 6, 04/22/2017, 9730, 
33 ST, 6, 04/22/2017, 13820, 
51 ST, 6, 04/22/2017, 9850, 
51 ST, 6, 04/22/2017, 9850, 
68ST-HUNTER CO, 6, 04/22/2017, 9488, 
96 ST, 6, 04/22/2017, 8395, 
ASTOR PL, 6, 04/22/2017, 10055, 
SPRING ST, 6, 04/22/2017, 7978, 
34 ST-HUDSON YD, 7, 04/22/2017, 10807, 
116 ST, 23, 04/22/2017, 8445, 
125 ST, 23, 04/22/2017, 10206, 
135 ST, 23, 04/22/2017, 9049, 
CENTRAL PK N110, 23, 04/22/2017, 6475, 
BOWLING GREEN, 45, 04/22/2017, 46, 
WALL ST, 45, 04/22/2017, 6, 
72 ST, 123, 04/22/2017, 29740, 
96 ST, 123, 04/22/2017, 25336, 
CHAMBERS ST, 123, 04/22/2017, 10314, 
125 ST, 456, 04/22/2017, 14650, 
86 ST, 456, 04/22/2017, 22391, 
TIMES SQ-42 ST, 1237ACENQRSW, 04/22/2017, 49330, 
59 ST COLUMBUS, 1ABCD, 04/22/2017, 9643, 
168 ST, 1AC, 04/22/2017, 4983, 
SOUTH FERRY, 1RW, 04/22/2017, 6, 
FULTON ST, 2345ACJZ, 04/22/2017, 16363, 
PARK PLACE, 23ACE, 04/22/2017, 1548, 
GRD CNTRL-42 ST, 4567S, 04/22/2017, 54785, 
BROOKLYN BRIDGE, 456JZ, 04/22/2017, 10618, 
14 ST-UNION SQ, 456LNQRW, 04/22/2017, 20014, 
59 ST, 456NQRW, 04/22/2017, 21378, 
175 ST, A, 04/22/2017, 7673, 
181 ST, A, 04/22/2017, 7079, 
190 ST, A, 04/22/2017, 2850, 
DYCKMAN ST, A, 04/22/2017, 4364, 
INWOOD-207 ST, A, 04/22/2017, 5718, 
145 ST, ABCD, 04/22/2017, 15182, 
W 4 ST-WASH SQ, ABCDEFM, 04/22/2017, 26628, 
125 ST, ACBD, 04/22/2017, 18151, 
CANAL ST, ACE, 04/22/2017, 6342, 
CANAL ST, ACE, 04/22/2017, 6342, 
CHAMBERS ST, ACE23, 04/22/2017, 8081, 
