50 ST, 1, 11/26/2016, 12933
33 ST, 6, 11/26/2016, 5294
68ST-HUNTER CO, 6, 11/26/2016, 8748
77 ST, 6, 11/26/2016, 14009
96 ST, 6, 11/26/2016, 8576
WALL ST, 23, 11/26/2016, 5338
BOWLING GREEN, 45, 11/26/2016, 12163
72 ST, 123, 11/26/2016, 20348
96 ST, 123, 11/26/2016, 19830
CHAMBERS ST, 123, 11/26/2016, 6733
125 ST, 456, 11/26/2016, 13925
86 ST, 456, 11/26/2016, 33883
TIMES SQ-42 ST, 1237ACENQRSW, 11/26/2016, 51331
34 ST-PENN STA, 123ACE, 11/26/2016, 29157
14 ST, 123FLM, 11/26/2016, 13414
FULTON ST, 2345ACJZ, 11/26/2016, 30889
GRD CNTRL-42 ST, 4567S, 11/26/2016, 57442
59 ST, 456NQRW, 11/26/2016, 24154
145 ST, ABCD, 11/26/2016, 14351
59 ST COLUMBUS, ABCD1, 11/26/2016, 27429
W 4 ST-WASH SQ, ABCDEFM, 11/26/2016, 17871
125 ST, ACBD, 11/26/2016, 18209
CHAMBERS ST, ACE23, 11/26/2016, 9599
42 ST-PORT AUTH, ACENQRS1237W, 11/26/2016, 55896
47-50 STS ROCK, BDFM, 11/26/2016, 22249
42 ST-BRYANT PK, BDFM7, 11/26/2016, 17331
34 ST-HERALD SQ, BDFMNQRW, 11/26/2016, 74248
23 ST, CE, 11/26/2016, 7120
5 AV/53 ST, EM, 11/26/2016, 7207
LEXINGTON AV/53, EM6, 11/26/2016, 11229
23 ST, FM, 11/26/2016, 11027
CANAL ST, JNQRZ6W, 11/26/2016, 29002
14 ST-UNION SQ, LNQR456W, 11/26/2016, 37487
49 ST, NQRW, 11/26/2016, 15800
57 ST-7 AV, NQRW, 11/26/2016, 15009
23 ST, NRW, 11/26/2016, 11357
50 ST, 1, 11/27/2016, 10686
33 ST, 6, 11/27/2016, 6951
68ST-HUNTER CO, 6, 11/27/2016, 7089
77 ST, 6, 11/27/2016, 10883
96 ST, 6, 11/27/2016, 7067
WALL ST, 23, 11/27/2016, 4236
BOWLING GREEN, 45, 11/27/2016, 8813
72 ST, 123, 11/27/2016, 18670
96 ST, 123, 11/27/2016, 17847
CHAMBERS ST, 123, 11/27/2016, 5417
125 ST, 456, 11/27/2016, 11715
86 ST, 456, 11/27/2016, 24910
TIMES SQ-42 ST, 1237ACENQRSW, 11/27/2016, 39170
34 ST-PENN STA, 123ACE, 11/27/2016, 27707
14 ST, 123FLM, 11/27/2016, 11528
FULTON ST, 2345ACJZ, 11/27/2016, 21362
GRD CNTRL-42 ST, 4567S, 11/27/2016, 44661
59 ST, 456NQRW, 11/27/2016, 18160
145 ST, ABCD, 11/27/2016, 11830
59 ST COLUMBUS, ABCD1, 11/27/2016, 22793
W 4 ST-WASH SQ, ABCDEFM, 11/27/2016, 15861
125 ST, ACBD, 11/27/2016, 15444
CHAMBERS ST, ACE23, 11/27/2016, 6584
42 ST-PORT AUTH, ACENQRS1237W, 11/27/2016, 51814
47-50 STS ROCK, BDFM, 11/27/2016, 16707
42 ST-BRYANT PK, BDFM7, 11/27/2016, 12544
34 ST-HERALD SQ, BDFMNQRW, 11/27/2016, 57751
23 ST, CE, 11/27/2016, 5668
5 AV/53 ST, EM, 11/27/2016, 4906
LEXINGTON AV/53, EM6, 11/27/2016, 8874
23 ST, FM, 11/27/2016, 8992
CANAL ST, JNQRZ6W, 11/27/2016, 23549
14 ST-UNION SQ, LNQR456W, 11/27/2016, 29844
49 ST, NQRW, 11/27/2016, 11938
57 ST-7 AV, NQRW, 11/27/2016, 11838
23 ST, NRW, 11/27/2016, 8496
50 ST, 1, 11/28/2016, 23899
33 ST, 6, 11/28/2016, 27070
68ST-HUNTER CO, 6, 11/28/2016, 132680
77 ST, 6, 11/28/2016, 32174
96 ST, 6, 11/28/2016, 25396
WALL ST, 23, 11/28/2016, 26273
BOWLING GREEN, 45, 11/28/2016, 32612
72 ST, 123, 11/28/2016, 34343
96 ST, 123, 11/28/2016, 34898
CHAMBERS ST, 123, 11/28/2016, 24463
125 ST, 456, 11/28/2016, 28668
86 ST, 456, 11/28/2016, 60426
TIMES SQ-42 ST, 1237ACENQRSW, 11/28/2016, 73053
34 ST-PENN STA, 123ACE, 11/28/2016, 52214
14 ST, 123FLM, 11/28/2016, 22718
FULTON ST, 2345ACJZ, 11/28/2016, 56193
GRD CNTRL-42 ST, 4567S, 11/28/2016, 146989
59 ST, 456NQRW, 11/28/2016, 47264
145 ST, ABCD, 11/28/2016, 25542
59 ST COLUMBUS, ABCD1, 11/28/2016, 61610
W 4 ST-WASH SQ, ABCDEFM, 11/28/2016, 31721
125 ST, ACBD, 11/28/2016, 29123
CHAMBERS ST, ACE23, 11/28/2016, 35759
42 ST-PORT AUTH, ACENQRS1237W, 11/28/2016, 94365
47-50 STS ROCK, BDFM, 11/28/2016, 59405
42 ST-BRYANT PK, BDFM7, 11/28/2016, 41948
34 ST-HERALD SQ, BDFMNQRW, 11/28/2016, 123467
23 ST, CE, 11/28/2016, 23317
5 AV/53 ST, EM, 11/28/2016, 24403
LEXINGTON AV/53, EM6, 11/28/2016, 43998
23 ST, FM, 11/28/2016, 31051
CANAL ST, JNQRZ6W, 11/28/2016, 38108
14 ST-UNION SQ, LNQR456W, 11/28/2016, 58695
49 ST, NQRW, 11/28/2016, 22807
57 ST-7 AV, NQRW, 11/28/2016, 28651
23 ST, NRW, 11/28/2016, 24532
50 ST, 1, 11/29/2016, 26012
33 ST, 6, 11/29/2016, 30001
68ST-HUNTER CO, 6, 11/29/2016, 37305
77 ST, 6, 11/29/2016, 35801
96 ST, 6, 11/29/2016, 26466
WALL ST, 23, 11/29/2016, 28460
BOWLING GREEN, 45, 11/29/2016, 31631
72 ST, 123, 11/29/2016, 34321
96 ST, 123, 11/29/2016, 34719
CHAMBERS ST, 123, 11/29/2016, 24500
125 ST, 456, 11/29/2016, 25805
86 ST, 456, 11/29/2016, 64817
TIMES SQ-42 ST, 1237ACENQRSW, 11/29/2016, 74757
34 ST-PENN STA, 123ACE, 11/29/2016, 54853
14 ST, 123FLM, 11/29/2016, 22086
FULTON ST, 2345ACJZ, 11/29/2016, 60823
GRD CNTRL-42 ST, 4567S, 11/29/2016, 169107
59 ST, 456NQRW, 11/29/2016, 47684
145 ST, ABCD, 11/29/2016, 24847
59 ST COLUMBUS, ABCD1, 11/29/2016, 59364
W 4 ST-WASH SQ, ABCDEFM, 11/29/2016, 31489
125 ST, ACBD, 11/29/2016, 27322
CHAMBERS ST, ACE23, 11/29/2016, 35631
42 ST-PORT AUTH, ACENQRS1237W, 11/29/2016, 100009
47-50 STS ROCK, BDFM, 11/29/2016, 65944
42 ST-BRYANT PK, BDFM7, 11/29/2016, 42593
34 ST-HERALD SQ, BDFMNQRW, 11/29/2016, 118934
23 ST, CE, 11/29/2016, 24353
5 AV/53 ST, EM, 11/29/2016, 28639
LEXINGTON AV/53, EM6, 11/29/2016, 49557
23 ST, FM, 11/29/2016, 31756
CANAL ST, JNQRZ6W, 11/29/2016, 34654
14 ST-UNION SQ, LNQR456W, 11/29/2016, 56239
49 ST, NQRW, 11/29/2016, 24772
57 ST-7 AV, NQRW, 11/29/2016, 29884
23 ST, NRW, 11/29/2016, 26367
50 ST, 1, 11/30/2016, 27138
33 ST, 6, 11/30/2016, 30194
68ST-HUNTER CO, 6, 11/30/2016, 35391
77 ST, 6, 11/30/2016, 35799
96 ST, 6, 11/30/2016, 27121
WALL ST, 23, 11/30/2016, 28638
BOWLING GREEN, 45, 11/30/2016, 32258
72 ST, 123, 11/30/2016, 35685
96 ST, 123, 11/30/2016, 36826
CHAMBERS ST, 123, 11/30/2016, 24922
125 ST, 456, 11/30/2016, 28110
86 ST, 456, 11/30/2016, 65640
TIMES SQ-42 ST, 1237ACENQRSW, 11/30/2016, 81379
34 ST-PENN STA, 123ACE, 11/30/2016, 53676
14 ST, 123FLM, 11/30/2016, 23717
FULTON ST, 2345ACJZ, 11/30/2016, 59934
GRD CNTRL-42 ST, 4567S, 11/30/2016, 167534
59 ST, 456NQRW, 11/30/2016, 49748
145 ST, ABCD, 11/30/2016, 26330
59 ST COLUMBUS, ABCD1, 11/30/2016, 62363
W 4 ST-WASH SQ, ABCDEFM, 11/30/2016, 32854
125 ST, ACBD, 11/30/2016, 29456
CHAMBERS ST, ACE23, 11/30/2016, 35926
42 ST-PORT AUTH, ACENQRS1237W, 11/30/2016, 96494
47-50 STS ROCK, BDFM, 11/30/2016, 68501
42 ST-BRYANT PK, BDFM7, 11/30/2016, 47219
