 103 ST,1,  03/26/2017,7034
 103 ST,1,  03/27/2017,11989
 103 ST,1,  03/28/2017,12675
 103 ST,1,  03/29/2017,12677
 103 ST,1,  03/30/2017,13012
 103 ST,1,  03/31/2017,13131
 103 ST,1,  04/01/2017,8830
 103 ST,1,  04/02/2017,7365
 103 ST,1,  04/03/2017,11935
 103 ST,1,  04/04/2017,13383
 103 ST,1,  04/05/2017,12746
 103 ST,1,  04/06/2017,13128
 103 ST,1,  04/07/2017,13544428
 103 ST,1,  04/08/2017,9024
 103 ST,1,  04/09/2017,7215
 103 ST,1,  04/10/2017,11009
 103 ST,1,  04/11/2017,11499
 103 ST,1,  04/12/2017,11804
 103 ST,1,  04/13/2017,12032
 103 ST,1,  04/14/2017,10736
 103 ST,1,  04/15/2017,8838
 103 ST,1,  04/16/2017,7131
 103 ST,1,  04/17/2017,11006
 103 ST,1,  04/18/2017,11877
 103 ST,1,  04/19/2017,13069
 103 ST,1,  04/20/2017,13148
 103 ST,1,  04/21/2017,13169
 103 ST,1,  04/22/2017,9718
 103 ST,1,  04/23/2017,7849
 103 ST,1,  04/24/2017,12088
 103 ST,1,  04/25/2017,12808
 103 ST,1,  04/26/2017,13061
 103 ST,1,  04/27/2017,12994
 103 ST,1,  04/28/2017,12565
 116 ST-COLUMBIA,1,  03/26/2017,6600
 116 ST-COLUMBIA,1,  03/27/2017,14644
 116 ST-COLUMBIA,1,  03/28/2017,16095
 116 ST-COLUMBIA,1,  03/29/2017,16058
 116 ST-COLUMBIA,1,  03/30/2017,16198
 116 ST-COLUMBIA,1,  03/31/2017,15931
 116 ST-COLUMBIA,1,  04/01/2017,8944
 116 ST-COLUMBIA,1,  04/02/2017,6743
 116 ST-COLUMBIA,1,  04/03/2017,15065
 116 ST-COLUMBIA,1,  04/04/2017,15955
 116 ST-COLUMBIA,1,  04/05/2017,16214
 116 ST-COLUMBIA,1,  04/06/2017,16219
 116 ST-COLUMBIA,1,  04/07/2017,16910
 116 ST-COLUMBIA,1,  04/08/2017,7958
 116 ST-COLUMBIA,1,  04/09/2017,6565
 116 ST-COLUMBIA,1,  04/10/2017,14147
 116 ST-COLUMBIA,1,  04/11/2017,14745
 116 ST-COLUMBIA,1,  04/12/2017,14881
 116 ST-COLUMBIA,1,  04/13/2017,15645
 116 ST-COLUMBIA,1,  04/14/2017,13795
 116 ST-COLUMBIA,1,  04/15/2017,7731
 116 ST-COLUMBIA,1,  04/16/2017,6131
 116 ST-COLUMBIA,1,  04/17/2017,13504
 116 ST-COLUMBIA,1,  04/18/2017,15124
 116 ST-COLUMBIA,1,  04/19/2017,15924
 116 ST-COLUMBIA,1,  04/20/2017,16230
 116 ST-COLUMBIA,1,  04/21/2017,16197
 116 ST-COLUMBIA,1,  04/22/2017,10197
 116 ST-COLUMBIA,1,  04/23/2017,7126
 116 ST-COLUMBIA,1,  04/24/2017,14860
 116 ST-COLUMBIA,1,  04/25/2017,15777
 116 ST-COLUMBIA,1,  04/26/2017,15095
 116 ST-COLUMBIA,1,  04/27/2017,15668
 116 ST-COLUMBIA,1,  04/28/2017,14806
 125 ST,1,  03/26/2017,3938
 125 ST,1,  03/27/2017,6684
 125 ST,1,  03/28/2017,7146
 125 ST,1,  03/29/2017,7010
 125 ST,1,  03/30/2017,7110
 125 ST,1,  03/31/2017,6939
 125 ST,1,  04/01/2017,4943
 125 ST,1,  04/02/2017,4412
 125 ST,1,  04/03/2017,6844
 125 ST,1,  04/04/2017,6763
 125 ST,1,  04/05/2017,7172
 125 ST,1,  04/06/2017,6794
