 59 ST,  456NQRW,  03/25/2017, 18277, 
 181 ST,  A,  03/25/2017, 7013, 
 181 ST,  A,  03/25/2017, 7013, 
 DYCKMAN ST,  A,  03/25/2017, 4533, 
 CHAMBERS ST,  ACE23,  03/25/2017, 7205, 
 14 ST,  ACEL,  03/25/2017, 10402, 
 103 ST,  BC,  03/25/2017, 2977, 
 103 ST,  BC,  03/25/2017, 2977, 
 72 ST,  BC,  03/25/2017, 4891, 
 86 ST,  BC,  03/25/2017, 4516, 
 96 ST,  BC,  03/25/2017, 4080, 
 CATHEDRAL PKWY,  BC,  03/25/2017, 4681, 
 155 ST,  C,  03/25/2017, 1942, 
 6 AV,  FLM123,  03/25/2017, 3890, 
 23 ST,  FM,  03/25/2017, 5372, 
 CANAL ST,  JNQRZ6W,  03/25/2017, 36874, 
 1 AV,  L,  03/25/2017, 13949, 
 57 ST-7 AV,  NQRW,  03/25/2017, 18119, 
 23 ST,  NRW,  03/25/2017, 14002, 
 RECTOR ST,  NRW,  03/25/2017, 3704, 
 59 ST,  456NQRW,  03/26/2017, 13049, 
 181 ST,  A,  03/26/2017, 5541, 
 181 ST,  A,  03/26/2017, 5541, 
 DYCKMAN ST,  A,  03/26/2017, 3225, 
 CHAMBERS ST,  ACE23,  03/26/2017, 4619, 
 14 ST,  ACEL,  03/26/2017, 7515, 
 103 ST,  BC,  03/26/2017, 2058, 
 103 ST,  BC,  03/26/2017, 2058, 
 72 ST,  BC,  03/26/2017, 3454, 
 86 ST,  BC,  03/26/2017, 3717, 
 96 ST,  BC,  03/26/2017, 3065, 
 CATHEDRAL PKWY,  BC,  03/26/2017, 3518, 
 155 ST,  C,  03/26/2017, 1490, 
 6 AV,  FLM123,  03/26/2017, 2632, 
 23 ST,  FM,  03/26/2017, 3684, 
 CANAL ST,  JNQRZ6W,  03/26/2017, 28004, 
 1 AV,  L,  03/26/2017, 11359, 
 57 ST-7 AV,  NQRW,  03/26/2017, 15046, 
 23 ST,  NRW,  03/26/2017, 10103, 
 RECTOR ST,  NRW,  03/26/2017, 2513, 
 59 ST,  456NQRW,  03/27/2017, 36089, 
 181 ST,  A,  03/27/2017, 10974, 
 181 ST,  A,  03/27/2017, 10974, 
 DYCKMAN ST,  A,  03/27/2017, 6433, 
 CHAMBERS ST,  ACE23,  03/27/2017, 30384, 
 14 ST,  ACEL,  03/27/2017, 18215, 
 103 ST,  BC,  03/27/2017, 4422, 
 103 ST,  BC,  03/27/2017, 4422, 
 72 ST,  BC,  03/27/2017, 7379, 
 86 ST,  BC,  03/27/2017, 9503, 
 96 ST,  BC,  03/27/2017, 8698, 
 CATHEDRAL PKWY,  BC,  03/27/2017, 7093, 
 155 ST,  C,  03/27/2017, 2760, 
 6 AV,  FLM123,  03/27/2017, 4692, 
 23 ST,  FM,  03/27/2017, 25832, 
 CANAL ST,  JNQRZ6W,  03/27/2017, 40908, 
 1 AV,  L,  03/27/2017, 18999, 
 57 ST-7 AV,  NQRW,  03/27/2017, 28461, 
 23 ST,  NRW,  03/27/2017, 21263, 
 RECTOR ST,  NRW,  03/27/2017, 6443, 
 59 ST,  456NQRW,  03/28/2017, 38653, 
 181 ST,  A,  03/28/2017, 11199, 
 181 ST,  A,  03/28/2017, 11199, 
 DYCKMAN ST,  A,  03/28/2017, 6706, 
 CHAMBERS ST,  ACE23,  03/28/2017, 32440, 
 14 ST,  ACEL,  03/28/2017, 20369, 
 103 ST,  BC,  03/28/2017, 4365, 
 103 ST,  BC,  03/28/2017, 4365, 
 72 ST,  BC,  03/28/2017, 7015, 
 86 ST,  BC,  03/28/2017, 9423, 
 96 ST,  BC,  03/28/2017, 8771, 
 CATHEDRAL PKWY,  BC,  03/28/2017, 6963, 
 155 ST,  C,  03/28/2017, 2797, 
 6 AV,  FLM123,  03/28/2017, 4903, 
 23 ST,  FM,  03/28/2017, 27893, 
 CANAL ST,  JNQRZ6W,  03/28/2017, 42139, 
 1 AV,  L,  03/28/2017, 19348, 
 57 ST-7 AV,  NQRW,  03/28/2017, 30033, 
