Main Class Initiated!
Table Created!
...
Refactoring by turnstyle...
Refactoring by station...
Printing relevant...
16514 36
 TIMES SQ-42 ST,  1237ACENQRSW,  03/25/2017, 1732165963, 
 34 ST-PENN STA,  123ACE,  03/25/2017, 27395, 
 14 ST,  123FLM,  03/25/2017, 14894, 
 FULTON ST,  2345ACJZ,  03/25/2017, 1257206, 
 GRD CNTRL-42 ST,  4567S,  03/25/2017, 13302647, 
 59 ST,  456NQRW,  03/25/2017, 1786184377, 
 145 ST,  ABCD,  03/25/2017, 15955, 
 59 ST COLUMBUS,  ABCD1,  03/25/2017, 28376, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/25/2017, 26193, 
 125 ST,  ACBD,  03/25/2017, 19366, 
 CHAMBERS ST,  ACE23,  03/25/2017, 7205, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/25/2017, -1100986999, 
 47-50 STS ROCK,  BDFM,  03/25/2017, 13909, 
 42 ST-BRYANT PK,  BDFM7,  03/25/2017, 14288, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/25/2017, 125437418, 
 23 ST,  CE,  03/25/2017, 13697, 
 5 AV/53 ST,  EM,  03/25/2017, 6245, 
 LEXINGTON AV/53,  EM6,  03/25/2017, 40619291, 
 23 ST,  FM,  03/25/2017, -1237757573, 
 CANAL ST,  JNQRZ6W,  03/25/2017, -295537931, 
 14 ST-UNION SQ,  LNQR456W,  03/25/2017, 42845, 
 49 ST,  NQRW,  03/25/2017, 14329, 
 57 ST-7 AV,  NQRW,  03/25/2017, 18119, 
 23 ST,  NRW,  03/25/2017, 14002, 
 TIMES SQ-42 ST,  1237ACENQRSW,  03/26/2017, 1732169018, 
 34 ST-PENN STA,  123ACE,  03/26/2017, 23277, 
 14 ST,  123FLM,  03/26/2017, 11519, 
 FULTON ST,  2345ACJZ,  03/26/2017, 1251942, 
 GRD CNTRL-42 ST,  4567S,  03/26/2017, 13293368, 
 59 ST,  456NQRW,  03/26/2017, 1786183670, 
 145 ST,  ABCD,  03/26/2017, 12092, 
 59 ST COLUMBUS,  ABCD1,  03/26/2017, 22088, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/26/2017, 20454, 
 125 ST,  ACBD,  03/26/2017, 15065, 
 CHAMBERS ST,  ACE23,  03/26/2017, 4619, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/26/2017, -1100998492, 
 47-50 STS ROCK,  BDFM,  03/26/2017, 10945, 
 42 ST-BRYANT PK,  BDFM7,  03/26/2017, 10160, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/26/2017, 125441234, 
 23 ST,  CE,  03/26/2017, 9962, 
 5 AV/53 ST,  EM,  03/26/2017, 4390, 
 LEXINGTON AV/53,  EM6,  03/26/2017, 40619034, 
 23 ST,  FM,  03/26/2017, -1237752522, 
 CANAL ST,  JNQRZ6W,  03/26/2017, -295542817, 
 14 ST-UNION SQ,  LNQR456W,  03/26/2017, 30772, 
 49 ST,  NQRW,  03/26/2017, 12017, 
 57 ST-7 AV,  NQRW,  03/26/2017, 15046, 
 23 ST,  NRW,  03/26/2017, 10103, 
 TIMES SQ-42 ST,  1237ACENQRSW,  03/27/2017, 1732203131, 
 34 ST-PENN STA,  123ACE,  03/27/2017, 53836, 
 14 ST,  123FLM,  03/27/2017, 18482, 
 FULTON ST,  2345ACJZ,  03/27/2017, 1290568, 
 GRD CNTRL-42 ST,  4567S,  03/27/2017, -1711602199, 
 59 ST,  456NQRW,  03/27/2017, 1786194004, 
 145 ST,  ABCD,  03/27/2017, 23159, 
 59 ST COLUMBUS,  ABCD1,  03/27/2017, 49232, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/27/2017, 33166, 
 125 ST,  ACBD,  03/27/2017, 26207, 
 CHAMBERS ST,  ACE23,  03/27/2017, 30384, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/27/2017, -1100964612, 
 47-50 STS ROCK,  BDFM,  03/27/2017, 51248, 
 42 ST-BRYANT PK,  BDFM7,  03/27/2017, 34985, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/27/2017, 125473686, 
 23 ST,  CE,  03/27/2017, 19799, 
 5 AV/53 ST,  EM,  03/27/2017, 24119, 
 LEXINGTON AV/53,  EM6,  03/27/2017, 40640458, 
 23 ST,  FM,  03/27/2017, -1237764408, 
 CANAL ST,  JNQRZ6W,  03/27/2017, -295540485, 
 14 ST-UNION SQ,  LNQR456W,  03/27/2017, 59802, 
 49 ST,  NQRW,  03/27/2017, 20365, 
 57 ST-7 AV,  NQRW,  03/27/2017, 28461, 
 23 ST,  NRW,  03/27/2017, 21263, 
 TIMES SQ-42 ST,  1237ACENQRSW,  03/28/2017, 1732216461, 
 34 ST-PENN STA,  123ACE,  03/28/2017, 54036, 
 14 ST,  123FLM,  03/28/2017, 19451, 
 FULTON ST,  2345ACJZ,  03/28/2017, 1294009, 
 GRD CNTRL-42 ST,  4567S,  03/28/2017, -1711593949, 
 59 ST,  456NQRW,  03/28/2017, 1786197212, 
 145 ST,  ABCD,  03/28/2017, 23347, 
 59 ST COLUMBUS,  ABCD1,  03/28/2017, 51375, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/28/2017, 35102, 
 125 ST,  ACBD,  03/28/2017, 26157, 
 CHAMBERS ST,  ACE23,  03/28/2017, 32440, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/28/2017, -1100970850, 
 47-50 STS ROCK,  BDFM,  03/28/2017, 56964, 
 42 ST-BRYANT PK,  BDFM7,  03/28/2017, 37232, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/28/2017, 125484665, 
 23 ST,  CE,  03/28/2017, 21204, 
 5 AV/53 ST,  EM,  03/28/2017, 27198, 
 LEXINGTON AV/53,  EM6,  03/28/2017, 40646431, 
 23 ST,  FM,  03/28/2017, -1237774441, 
