Station,Line,Date,Swipes
34 ST-PENN STA,123ACE,2016-12-01,178124
GRD CNTRL-42 ST,4567S,2016-12-01,159489
34 ST-HERALD SQ,BDFMNQRW,2016-12-01,129560
42 ST-PORT AUTH,ACENQRS1237W,2016-12-01,97564
14 ST-UNION SQ,LNQR456W,2016-12-01,91424
FULTON ST,2345ACJZ,2016-12-01,89865
TIMES SQ-42 ST,1237ACENQRSW,2016-12-01,84855
47-50 STS ROCK,BDFM,2016-12-01,70750
86 ST,456,2016-12-01,67796
59 ST COLUMBUS,ABCD1,2016-12-01,64492
59 ST,456NQRW,2016-12-01,51810
LEXINGTON AV/53,EM6,2016-12-01,48369
42 ST-BRYANT PK,BDFM7,2016-12-01,46920
CANAL ST,JNQRZ6W,2016-12-01,39156
96 ST,123,2016-12-01,38197
CHAMBERS ST,ACE23,2016-12-01,37805
72 ST,123,2016-12-01,37634
68ST-HUNTER CO,6,2016-12-01,36567
77 ST,6,2016-12-01,36108
W 4 ST-WASH SQ,ABCDEFM,2016-12-01,35169
BOWLING GREEN,45,2016-12-01,34389
23 ST,FM,2016-12-01,34049
125 ST,ACBD,2016-12-01,32093
57 ST-7 AV,NQRW,2016-12-01,31776
33 ST,6,2016-12-01,30186
125 ST,456,2016-12-01,29885
WALL ST,23,2016-12-01,28977
23 ST,NRW,2016-12-01,27852
50 ST,1,2016-12-01,27836
96 ST,6,2016-12-01,27705
145 ST,ABCD,2016-12-01,27651
49 ST,NQRW,2016-12-01,27274
5 AV/53 ST,EM,2016-12-01,27078
CHAMBERS ST,123,2016-12-01,26389
23 ST,CE,2016-12-01,26112
14 ST,123FLM,2016-12-01,25628
